	logFC	logCPM	LR	PValue	FDR
YGR066C	3.5664430554505	5.62640974607285	658.534490692825	3.1120464585713e-145	2.1033374868909e-143
YPL273W	-3.41427927272065	7.59898035346583	656.279858491373	9.62444533657218e-145	6.43492484976407e-143
YML063W	-3.00924529010853	10.5927663398534	654.328238346834	2.55746316548711e-144	1.69173467691477e-142
YDL222C	4.56022200478776	5.89058022882187	652.116160043209	7.74264243937201e-144	5.06776323031739e-142
YIL146C	2.6386407966944	6.55054052131807	643.807763535758	4.96375605301992e-142	3.21506616017478e-140
YDR253C	2.98596358438546	6.95345314919341	639.084745688281	5.28438749688558e-141	3.38745582016851e-139
YKL006W	-3.57412846319558	9.50617911109619	637.03057545593	1.47825367502154e-140	9.37936872579996e-139
YBR048W	-3.42860087679372	8.92454039349609	636.193730623681	2.24777103347474e-140	1.41178184708545e-138
YLL062C	3.36539842289822	6.070070043185	634.40270925838	5.51159990544018e-140	3.4271128212027e-138
YJL103C	2.44196994345809	6.10544724549257	633.165252003103	1.02426129868389e-139	6.30579876754099e-138
YIR027C	4.05363376379761	5.9586568047234	629.696360181224	5.81915931876717e-139	3.54740516118571e-137
YDL227C	-2.65316888219745	6.90959321757122	627.922716644008	1.41453145499542e-138	8.53937532734128e-137
YPL186C	5.35196138598757	8.11593861888773	627.761844888812	1.53320748511192e-138	9.16681167540954e-137
YEL054C	-3.46777425967953	9.03107301352334	625.492834393718	4.7763275078397e-138	2.82849566130926e-136
YHR171W	2.63838747478434	6.28008649962333	621.177176598785	4.14692250774538e-137	2.43260039180762e-135
YBR191W	-3.28071734223637	9.35755638275012	618.239130315516	1.8060957411289e-136	1.04956105778874e-134
YEL040W	-4.1663658797409	8.07512961517831	616.780617074778	3.74942035670593e-136	2.15869405351828e-134
YIL136W	3.99141996724175	9.48646999230183	616.011606201272	5.51090293367498e-136	3.14374260932028e-134
YER150W	4.39767012722699	7.25902740710516	615.942130568915	5.70602429605974e-136	3.22545991571813e-134
YBR230C	2.70018746428037	6.33166485208017	615.799226031637	6.12936051508861e-136	3.43354627773162e-134
YBR030W	-2.55642495254033	6.37802196654186	615.765513554307	6.23372425625155e-136	3.46083012726537e-134
YJR155W	3.860685122234	8.05930695074574	614.35851101486	1.26115784692495e-135	6.93971636476048e-134
YDR382W	-3.15312553728315	9.46341484963588	613.521758376823	1.91762185909517e-135	1.04594497542577e-133
YJR010W	3.82041528922109	8.84436334994349	611.825053140619	4.48535933718419e-135	2.42521429205315e-133
YER074W	-3.16030320493525	10.1290844365528	609.974969377061	1.13290452684825e-134	6.07275892064001e-133
YGL184C	4.76924139661651	7.83781135503973	609.356552676086	1.54418859282438e-134	8.20663647024101e-133
YPL222W	3.53907499010667	7.54863454621184	607.411961218631	4.08935505464992e-134	2.15488218049264e-132
YDL229W	-3.15321421474365	10.5047426477547	606.297447671233	7.14604682384058e-134	3.73395959249082e-132
YKL180W	-2.83416914275964	9.69768206536135	598.413934924994	3.70494325832823e-132	1.91977809835708e-130
YIR042C	3.00816640876333	5.66835459585323	597.051645117479	7.32980281237797e-132	3.76667056920382e-130
YBL081W	-3.22846357551711	6.28386345417226	595.457504820872	1.62867372566288e-131	8.30089608702607e-130
YDR223W	2.76243624258973	6.66889504382121	593.130411567084	5.22400305841165e-131	2.64088219652062e-129
YDL082W	-3.01860479639914	9.12658603474145	592.531167332845	7.05255394477442e-131	3.53651455069414e-129
